stopName,lat,lon
Jln. Gorda,-6.289593,106.89598
Taman Juang 2,-6.179604,106.80554
Gg. Gading II Pisangan Timur,-6.205063,106.88175
Penas Kalimalang,-6.23907,106.878
Jln. Poncol Jaya 2,-6.239441,106.81883
Sbr. RPTRA Pesona Manggarai,-6.213105,106.85284
RS Sumber Waras,-6.166294,106.79675
Jln. Cilandak V,-6.287313,106.79558
PGC 1,-6.262494,106.86635
Jembatan Merah,-6.146731,106.83427
JPO Blok G,-6.188861,106.81135
Jln. Anggrek Srengseng,-6.19818,106.75616
Kampung Padaengan 2,-6.189465,106.93484
Budhaya Santo Agustinus,-6.220866,106.92346
Komplek Al,-6.297741,106.84018
Kampung Rambutan,-6.309885,106.88216
Flyover Kampung Melayu,-6.22506,106.86483
Pengadilan Negeri Jakut,-6.126807,106.85654
Tosari 3,-6.200069,106.82335
Sbr. Jln. Barito II,-6.248808,106.795903
Koperasi Serba Usaha,-6.222036,106.89954
Jln. Teluk Mandar 2,-6.238944,106.91004
Simpang Belly 1,-6.332931,106.86756
Gedong Panjang,-6.132617,106.80596
Mushola Nurul Huda Petukangan,-6.247018,106.75185
Grogol 2 Arah Selatan,-6.167435,106.78856
St. Kalideres,-6.166146,106.70466
RSPAD 3,-6.175462,106.83922
Ramayana Semper,-6.127723,106.91711
Lapangan Ros,-6.225111,106.8546
Komplek Dirgantara III Halim PK,-6.284809,106.90458
Sbr. Kel. Lebak Bulus,-6.303113,106.7847
Sbr. Jln. Taman Enau,-6.232561,106.93361
Pluit 1,-6.115636,106.7909
Sbr. Jln. Rorotan V Gg. 1,-6.136168,106.95481
Jln. Jatipadang Poncol,-6.297767,106.83089
Situ Gintung 1,-6.300534,106.76234
Kantor Lurah Gandul,-6.34007,106.79381
Gatot Subroto Jamsostek Arah Timur,-6.232602,106.82162
SDN 01 02 03,-6.219572,106.845492
Puri Beta 2,-6.230532,106.72371
Jln. H Briti B,-6.186247,106.75508
Rusun Tipar Cakung,-6.171493,106.93731
Term. BSD,-6.306375,106.68536
Tegal Parang 2,-6.238571,106.83054
Jln. Kampung Baru,-6.170069,106.74932
Grand Wijaya Dharmawangsa,-6.254752,106.80034
Cawang UKI,-6.250309,106.8736
Sbr. Jln. Bendungan Hilir Gg. IV,-6.212801,106.81255
Taman Modern 1,-6.185359,106.94843
Batan H Kaman,-6.296551,106.77338
Ps. Hek 2,-6.286261,106.87094
Puskesmas Kel. Gunung,-6.239678,106.79024
Sbr. Green Puri,-6.174548,106.70682
RSIA Kemang,-6.285839,106.8188
Roda Mas Baja Intan,-6.141794,106.82785
Kramat Sentiong,-6.18798,106.84595
Pal Batu 2,-6.224559,106.8446
Sbr. Gg. Robaya,-6.333212,106.82825
Departemen Pertanian,-6.294641,106.82213
Sbr. Jln. Damai,-6.242744,106.90195
Kantor Kelurahan Baru,-6.323671,106.8512
Taman Margahayu 2,-6.24846,107.02153
Puri Beta 1,-6.230596,106.72602
SDN Jagakarsa 05,-6.336947,106.81847
Sbr. Komplek DPR III,-6.215021,106.73294
Taman Asem PPSU Tj. Priok,-6.117021,106.86998
Jln. Ikan Hias Batu Ampar,-6.27255,106.86272
Masjid Nur Alimin 2,-6.302584,106.91756
Romantis PIK Penggilingan,-6.205114,106.92803
Puri Swadaya,-6.23716,106.91961
Puri Imperium,-6.210463,106.83229
Kali Besar Barat,-6.135355,106.81143
Gereja HKBP Duren Sawit,-6.223308,106.91369
Pancoran Barat Arah Barat,-6.241672,106.8372
Monas,-6.176248,106.82286
Ps. Santa,-6.238971,106.8126
Univ. Satya Negara,-6.241863,106.78286
Cililitan Besar 1,-6.263567,106.86709
Kasi Dikdas 1,-6.222363,106.92318
Sbr. RS Pelni Petamburan,-6.192916,106.80556
Gebu Minang,-6.225359,106.85576
Simpang Prepedan Benda Raya,-6.106575,106.70192
Jln. KS Tubun II,-6.1919,106.80579
Ananda Pulo Gadung,-6.185254,106.90716
Bintaro Xchange,-6.286813,106.72865
BPPK Jakarta,-6.189843,106.858846
Jln. Madrasah I Bojong Raya,-6.168523,106.7341
Gg. H. Yusuf Jati Pdang,-6.292902,106.8287
SD Paskalis 1,-6.177104,106.84827
Bundaran Senayan 2,-6.227877,106.80068
Yayasan Muhammadiyah 2,-6.196871,106.81431
RS Medika Permata Hijau 3,-6.218375,106.77849
Simpang Jln. Bongo Raya,-6.170743,106.91001
Sahid Sudirman Center,-6.211191,106.81794
St. Karet,-6.200377,106.81546
TIS Square,-6.243169,106.84798
Boulevard Janur Elok Raya 1,-6.150581,106.90954
Pospol Jati Bunder,-6.189707,106.81317
RS Tria Dipa,-6.250297,106.84261
Kesatrian Kowal Cut Nyak Dhien,-6.194307,106.81436
STMT Trisakti 1,-6.231933,106.87782
Raya Penggilingan,-6.183068,106.93194
St. Sudirman 2,-6.201883,106.82277
Gg. H. Abdullah Marunda,-6.125838,106.95684
IGI,-6.182981,106.91917
Jln. Belimbing Terusan,-6.115462,106.92147
SMKN 38,-6.181971,106.8174
Pademangan,-6.133704,106.83164
SDN Sukasari Enam 2,-6.189308,106.64182
Cipulir,-6.237818,106.76541
Permata Hijau RS Medika 1,-6.218855,106.77808
Jln. Minyak Raya,-6.253372,106.83813
Jln. Bekasi Timur I Jatinegara,-6.215457,106.87083
Pam Jaya DKI,-6.203455,106.80794
Jaha,-6.292428,106.81245
SMPN 252,-6.239351,106.94234
STAI Az Ziyadah 2,-6.222785,106.90469
Jln. Warakas II,-6.117016,106.88045
Pasar Genjing,-6.194446,106.86092
Jln. Cipinang Timur Persahabatan,-6.202447,106.89344
Departemen Kesehatan,-6.228794,106.833205
Jak Lingko Tanah Abang 2,-6.183885,106.81165
SDN Cengkareng Timur 05,-6.149212,106.72804
Simpang Pitungan,-6.100212,106.9606
Taman Ut Aheme,-6.227704,106.92256
SMKN 48,-6.219401,106.92361
Kementerian ESDM,-6.183203,106.82382
Sbr. Kel. Ciracas,-6.32881,106.87779
Jln. Pepaya V Jagakarsa,-6.320652,106.81847
Persahabatan,-6.20222,106.88512
Kota Harapan Indah 2,-6.193912,106.97356
Plaza Oleos,-6.29771,106.82965
St. Jakarta Kota Baru,-6.137749,106.81631
St. LRT Velodrome 3,-6.19151,106.89108
Sawah Besar Arah Utara,-6.157418,106.81846
Sbr. SMPN 195,-6.230919,106.90988
Mushola Almujtahida Rorotan,-6.14607,106.95648
Erha Clinic,-6.147269,106.89796
Karet Kuningan,-6.21667,106.830737
Term. Tj. Priok 1,-6.1098,106.88118
Sbr. Graha Delta Tengah,-6.293006,106.8596
SPBU Limo Cinere 1,-6.343161,106.77878
Ancol Pintu 2,-6.12719,106.84461
Sbr. Masjid Al Falah Pinang,-6.274229,106.77506
Simpang Lagoa Ciampea,-6.108978,106.9077
Gold Coast,-6.102693,106.74065
Simpang Dharmawangsa VIII,-6.253614,106.80792
Setiabudi Utara,-6.209189,106.830237
ASEAN,-6.239889,106.79897
Gg. Rukun Lingkar Timur,-6.198644,106.94442
Masjid Jami Al Barkah 2,-6.229538,106.91204
Jln. Asmin 2,-6.308725,106.87205
Sbr. St. Manggarai,-6.209626,106.8504
RS Adhiyaksa,-6.307077,106.8932
Sbr. KPAI,-6.189345,106.833207
Kemenkes 1,-6.230706,106.83284
Simpang Waru Gedong,-6.29329,106.85793
Kel. Susukan,-6.312595,106.87518
Jln. Ancol Barat 1,-6.1294,106.82006
Plaza Indonesia,-6.193733,106.8228
St. Gg. Sentiong,-6.185997,106.85083
Transjakarta Pintu 1,-6.252682,106.87358
TU Gas,-6.19241,106.90489
D Mall,-6.387291,106.8273
Masjid Cut Meutia 1,-6.186763,106.834
Jln. Limo Jatinegara Timur,-6.223388,106.86808
SDN Cipinang Besar Selatan,-6.233133,106.88262
Jln. Al Hidayah Basmol,-6.163241,106.75058
Pos Polisi Satrio,-6.225044,106.82827
Sbr. Gg. Swadaya Pagelarang,-6.302718,106.91662
IRTI,-6.1803,106.82618
Rukan Teuku Umar,-6.195499,106.62391
Jln. Bunga Cempaka II Cipete,-6.26868,106.80636
United Tractors 1,-6.18326,106.93243
Sbr. Jln. H. Hanafi Cipinang,-6.22869,106.8933
Jln. Tebet Barat Raya,-6.233919,106.85064
UPT. LLHD 1,-6.22577,106.83507
Seskoal,-6.238064,106.77121
UNKRIS,-6.263734,106.91095
Badan Diklat Kejaksaan RI,-6.304295,106.82095
Kel. Halim Perdana Kusuma,-6.267932,106.87743
Perempatan Gandul,-6.33963,106.79332
Jln. Kapuas Cideng Barat,-6.175132,106.81166
Kel. Duri Kepa,-6.185225,106.77307
Gg. CC Palmerah,-6.201889,106.7883
Simpang Mandala Selatan Timur,-6.17199,106.80098
Jln. Batas II Baru,-6.329867,106.85238
BTC 2,-6.258258,107.0206
Manggala Wanabakti,-6.204951,106.79963
Graha Jasindo,-6.18492,106.835449
